Month,Stop_Count
2011-07,5457
2011-08,5373
2011-09,6015
2011-10,5298
2011-11,4805
2011-12,3948
2012-01,4948
2012-02,5558
2012-03,5414
2012-04,4555
2012-05,5228
2012-06,4056
2012-07,4595
2012-08,4164
2012-09,4033
2012-10,3759
2012-11,3488
2012-12,3367
2013-01,4964
2013-02,4488
2013-03,3876
2013-04,3949
2013-05,4708
2013-06,3595
2013-07,3850
2013-08,3795
2013-09,3124
2013-10,3826
2013-11,3437
2013-12,2989
2014-01,4554
2014-02,5141
2014-03,5571
2014-04,5122
2014-05,4513
2014-06,4386
2014-07,4610
2014-08,4653
2014-09,4756
2014-10,5148
2014-11,4884
2014-12,4120
2015-01,5092
2015-02,4232
2015-03,4755
2015-04,4619
2015-05,4959
2015-06,3642
2015-07,4968
2015-08,4450
2015-09,4087
2015-10,4151
2015-11,4379
2015-12,3567
2016-01,4247
2016-02,3404
2016-03,4560
2016-04,4812
2016-05,4270
2016-06,4407
